Size, Type, Time
500000, "Sequential", 0.119435
500000, "Parallel", 0.134497
500000, "Built-in", 0.102318
525000, "Sequential", 0.130749
525000, "Parallel", 0.111571
525000, "Built-in", 0.106751
550000, "Sequential", 0.127446
550000, "Parallel", 0.111522
550000, "Built-in", 0.113533
575000, "Sequential", 0.151070
575000, "Parallel", 0.127031
575000, "Built-in", 0.121147
600000, "Sequential", 0.137881
600000, "Parallel", 0.123849
600000, "Built-in", 0.129300
625000, "Sequential", 0.143477
625000, "Parallel", 0.174920
625000, "Built-in", 0.130686
650000, "Sequential", 0.162270
650000, "Parallel", 0.134985
650000, "Built-in", 0.134518
675000, "Sequential", 0.161017
675000, "Parallel", 0.130425
675000, "Built-in", 0.141449
700000, "Sequential", 0.176321
700000, "Parallel", 0.148666
700000, "Built-in", 0.147510
725000, "Sequential", 0.176852
725000, "Parallel", 0.179719
725000, "Built-in", 0.159035
750000, "Sequential", 0.190545
750000, "Parallel", 0.209278
750000, "Built-in", 0.161880
775000, "Sequential", 0.183036
775000, "Parallel", 0.149628
775000, "Built-in", 0.167130
800000, "Sequential", 0.202400
800000, "Parallel", 0.219440
800000, "Built-in", 0.178456
825000, "Sequential", 0.204555
825000, "Parallel", 0.221290
825000, "Built-in", 0.181616
850000, "Sequential", 0.192341
850000, "Parallel", 0.185003
850000, "Built-in", 0.188383
875000, "Sequential", 0.208819
875000, "Parallel", 0.197885
875000, "Built-in", 0.194700
900000, "Sequential", 0.219114
900000, "Parallel", 0.197293
900000, "Built-in", 0.211219
925000, "Sequential", 0.214294
925000, "Parallel", 0.217757
925000, "Built-in", 0.203241
950000, "Sequential", 0.225025
950000, "Parallel", 0.268767
950000, "Built-in", 0.205241
975000, "Sequential", 0.223498
975000, "Parallel", 0.192738
975000, "Built-in", 0.218331
1000000, "Sequential", 0.235964
1000000, "Parallel", 0.218338
1000000, "Built-in", 0.216913
1025000, "Sequential", 0.252622
1025000, "Parallel", 0.263901
1025000, "Built-in", 0.224090
1050000, "Sequential", 0.247423
1050000, "Parallel", 0.250308
1050000, "Built-in", 0.226218
1075000, "Sequential", 0.250550
1075000, "Parallel", 0.320019
1075000, "Built-in", 0.235799
1100000, "Sequential", 0.260589
1100000, "Parallel", 0.254240
1100000, "Built-in", 0.252096
1125000, "Sequential", 0.274102
1125000, "Parallel", 0.272175
1125000, "Built-in", 0.244903
1150000, "Sequential", 0.270884
1150000, "Parallel", 0.265221
1150000, "Built-in", 0.250916
1175000, "Sequential", 0.284272
1175000, "Parallel", 0.345949
1175000, "Built-in", 0.256215
1200000, "Sequential", 0.287998
1200000, "Parallel", 0.325300
1200000, "Built-in", 0.259754
1225000, "Sequential", 0.303431
1225000, "Parallel", 0.308412
1225000, "Built-in", 0.273348
1250000, "Sequential", 0.302580
1250000, "Parallel", 0.326704
1250000, "Built-in", 0.284422
1275000, "Sequential", 0.297004
1275000, "Parallel", 0.312353
1275000, "Built-in", 0.278550
1300000, "Sequential", 0.308092
1300000, "Parallel", 0.386227
1300000, "Built-in", 0.288527
1325000, "Sequential", 0.323305
1325000, "Parallel", 0.309073
1325000, "Built-in", 0.291708
1350000, "Sequential", 0.324856
1350000, "Parallel", 0.272358
1350000, "Built-in", 0.297544
1375000, "Sequential", 0.321600
1375000, "Parallel", 0.323215
1375000, "Built-in", 0.323231
1400000, "Sequential", 0.333255
1400000, "Parallel", 0.346775
1400000, "Built-in", 0.310574
1425000, "Sequential", 0.351014
1425000, "Parallel", 0.469571
1425000, "Built-in", 0.317759
1450000, "Sequential", 0.337727
1450000, "Parallel", 0.411368
1450000, "Built-in", 0.321885
1475000, "Sequential", 0.357653
1475000, "Parallel", 0.336060
1475000, "Built-in", 0.335595
1500000, "Sequential", 0.356321
1500000, "Parallel", 0.480956
1500000, "Built-in", 0.337401
1525000, "Sequential", 0.389794
1525000, "Parallel", 0.502038
1525000, "Built-in", 0.349639
1550000, "Sequential", 0.376655
1550000, "Parallel", 0.439352
1550000, "Built-in", 0.356706
1575000, "Sequential", 0.371668
1575000, "Parallel", 0.364771
1575000, "Built-in", 0.353856
1600000, "Sequential", 0.388434
1600000, "Parallel", 0.402121
1600000, "Built-in", 0.359959
1625000, "Sequential", 0.390102
1625000, "Parallel", 0.377947
1625000, "Built-in", 0.373569
1650000, "Sequential", 0.404618
1650000, "Parallel", 0.450291
1650000, "Built-in", 0.381246
1675000, "Sequential", 0.394103
1675000, "Parallel", 0.388754
1675000, "Built-in", 0.384477
1700000, "Sequential", 0.397618
1700000, "Parallel", 0.343256
1700000, "Built-in", 0.391860
1725000, "Sequential", 0.405463
1725000, "Parallel", 0.319323
1725000, "Built-in", 0.394473
1750000, "Sequential", 0.411972
1750000, "Parallel", 0.421758
1750000, "Built-in", 0.404583
1775000, "Sequential", 0.418681
1775000, "Parallel", 0.503022
1775000, "Built-in", 0.412298
1800000, "Sequential", 0.437622
1800000, "Parallel", 0.471806
1800000, "Built-in", 0.411617
1825000, "Sequential", 0.424655
1825000, "Parallel", 0.447909
1825000, "Built-in", 0.432016
1850000, "Sequential", 0.442980
1850000, "Parallel", 0.503690
1850000, "Built-in", 0.424860
1875000, "Sequential", 0.449952
1875000, "Parallel", 0.465899
1875000, "Built-in", 0.427062
1900000, "Sequential", 0.442686
1900000, "Parallel", 0.391773
